Date,Wind,Solar,Other
01-01-2026,106.52,381.16,29.97
02-01-2026,169.36,379.53,29.7
03-01-2026,170.59,440.5,28.47
04-01-2026,189.48,463.14,30.55
05-01-2026,226.05,462.9,29.74
06-01-2026,260.83,437.91,30.58
07-01-2026,297.61,455.43,31.16
08-01-2026,273.1,456.94,30.4
09-01-2026,274.04,487.98,31.07
10-01-2026,254.79,442.82,29.66
11-01-2026,245.75,447.34,28.95
12-01-2026,229.19,483,29.03
13-01-2026,184.65,489.54,28.7
14-01-2026,116.27,518.64,29.51
15-01-2026,92.07,538.84,29
16-01-2026,108.25,507.32,28.16
17-01-2026,98.84,511.91,29.42
18-01-2026,109.94,507.87,29.34
19-01-2026,81.35,504.56,29.66
20-01-2026,117.19,512.91,30.47
21-01-2026,200.24,525.6,29.91
22-01-2026,216.43,472.25,30.81
23-01-2026,194.21,545.99,29.61
24-01-2026,266.76,492.06,29.29
25-01-2026,291.11,496.47,29.87
26-01-2026,210.45,435.56,30.12
27-01-2026,236.58,492.17,28.89
28-01-2026,229.97,533.48,30.51
29-01-2026,272.18,523.41,28.72
30-01-2026,224.64,530.31,30.28
31-01-2026,198.69,522.48,30.47
01-02-2026,191.29,491.41,29.11
02-02-2026,220.68,500.2,27.84
03-02-2026,228.17,511.18,29.06
04-02-2026,312.74,543.34,27.75
05-02-2026,224.96,543.07,28.82
06-02-2026,166.44,580.18,28.82
07-02-2026,132.16,576.08,28.96
08-02-2026,116.13,588.02,28.11
09-02-2026,121.55,555.57,27.89
10-02-2026,141.78,568.54,27.17
11-02-2026,251.31,553.33,27.91
12-02-2026,220.08,564.11,26.39
13-02-2026,143.98,592.05,27.99
14-02-2026,128.56,591.53,27.03
15-02-2026,93.34,593.5,26.95
16-02-2026,142.17,587.26,27.99
17-02-2026,162.93,449.72,15.31
18-02-2026,204.8,422.54,15.41
19-02-2026,211.63,571.96,14.96
20-02-2026,271.15,558.17,26.83
21-02-2026,149.07,579.88,25.98
22-02-2026,88.22,578.98,24.46
23-02-2026,76.33,563.4,26.93
24-02-2026,103.56,575.39,27.45
25-02-2026,94.26,569.68,27.61
26-02-2026,110.69,583.64,26.61
27-02-2026,142.48,572.38,25
28-02-2026,144.76,584.53,26.72
01-03-2026,102.02,598.82,24.07
02-03-2026,84.99,598.82,24.52
03-03-2026,97.18,624.63,25.01
04-03-2026,117.77,615.36,27.61
05-03-2026,156.9,616.08,25.36
06-03-2026,143.96,651.67,25.65
07-03-2026,117.7,626.96,24.35
08-03-2026,98.07,627.55,23.69
09-03-2026,183.51,621.72,24.98
10-03-2026,236.87,615.25,23.1
11-03-2026,215.92,620.66,23.77
12-03-2026,138.61,601.02,24.97
13-03-2026,162.44,608.31,24.53
14-03-2026,191.28,618.75,23.84
15-03-2026,174.63,622.40,24.21
16-03-2026,148.92,611.88,24.68
